edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_20697,PEI,node_3043,node_16443,protonation,ionization,1.0
edge_20698,PEI,node_3043,node_16444,deprotonation,ionization,1.0
edge_20699,PEI,node_3044,node_16445,electron_loss,ionization,1.0
edge_20700,PEI,node_3044,node_16446,electron_gain,ionization,1.0
edge_20701,PEI,node_3044,node_16447,protonation,ionization,1.0
edge_20702,PEI,node_3044,node_16448,deprotonation,ionization,1.0
edge_20703,PEI,node_3045,node_16449,electron_loss,ionization,1.0
edge_20704,PEI,node_3045,node_16450,electron_gain,ionization,1.0
edge_20705,PEI,node_3045,node_16451,protonation,ionization,1.0
edge_20706,PEI,node_3045,node_16452,deprotonation,ionization,1.0
edge_20707,PEI,node_3046,node_16453,electron_loss,ionization,1.0
edge_20708,PEI,node_3046,node_16454,electron_gain,ionization,1.0
edge_20709,PEI,node_3046,node_16455,protonation,ionization,1.0
edge_20710,PEI,node_3046,node_16456,deprotonation,ionization,1.0
edge_20711,PEI,node_3047,node_16457,electron_loss,ionization,1.0
edge_20712,PEI,node_3047,node_16458,electron_gain,ionization,1.0
edge_20713,PEI,node_3047,node_16459,protonation,ionization,1.0
edge_20714,PEI,node_3047,node_16460,deprotonation,ionization,1.0
edge_20715,PEI,node_3048,node_16461,electron_loss,ionization,1.0
edge_20716,PEI,node_3048,node_16462,electron_gain,ionization,1.0
edge_20717,PEI,node_3048,node_16463,protonation,ionization,1.0
edge_20718,PEI,node_3048,node_16464,deprotonation,ionization,1.0
edge_20719,PEI,node_3049,node_16465,electron_loss,ionization,1.0
edge_20720,PEI,node_3049,node_16466,electron_gain,ionization,1.0
edge_20721,PEI,node_3049,node_16467,protonation,ionization,1.0
edge_20722,PEI,node_3049,node_16468,deprotonation,ionization,1.0
edge_20723,PEI,node_3050,node_16469,electron_loss,ionization,1.0
edge_20724,PEI,node_3050,node_16470,electron_gain,ionization,1.0
edge_20725,PEI,node_3050,node_16471,protonation,ionization,1.0
edge_20726,PEI,node_3050,node_16472,deprotonation,ionization,1.0
edge_20727,PEI,node_3051,node_16473,electron_loss,ionization,1.0
edge_20728,PEI,node_3051,node_16474,electron_gain,ionization,1.0
edge_20729,PEI,node_3051,node_16475,protonation,ionization,1.0
