compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids,diagnostic_tag,formula_score_original
PDMS,Polydimethylsiloxane,C4H5,positive,1,53.03912516115,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0391,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H5,node_0391,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C4H7,positive,1,55.05477522561,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0392,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H7,node_0392,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C4H9,positive,1,57.07042529007,0.4748,0.6580000000000001,1,1,1,feature_rule,node_0393,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C4H9,node_0393,generic_hydrocarbon_background,0.6580000000000001
PDMS,Polydimethylsiloxane,C2,negative,-1,24.0,0.4448,0.6080000000000001,1,1,1,feature_rule,node_0394,M | universal_hydrocarbon | hydrocarbon_small_fragments | small_hc_C2,node_0394,generic_hydrocarbon_background,0.6080000000000001
PDMS,Polydimethylsiloxane,C4H12OSi2,negative,-1,132.04266807563,0.7542,0.692,12,3,10,fragment;fragment_h_shift;recombination,node_0454,"M | fragment C,H,O,Si from Si-O bond break(s) | deprotonation",node_0454;node_0478;node_0576;node_0600;node_0804;node_0960;node_1100;node_1104;node_1386;node_1514;node_1718;node_1826,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C4H14OSi2,positive,1,134.05831814009,0.7542,0.692,8,3,6,fragment;fragment_h_shift;recombination,node_0453,"M | fragment C,H,O,Si from Si-O bond break(s) | protonation",node_0453;node_0477;node_0577;node_0601;node_1385;node_1513;node_1717;node_1825,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C2H6OSi,negative,-1,74.0187913476,0.7502,0.692,20,3,18,fragment;fragment_h_shift;recombination,node_0462,"M | fragment C,H,O,Si from other bond break(s) | deprotonation",node_0462;node_0466;node_0584;node_0588;node_0792;node_0816;node_0948;node_0972;node_1076;node_1080;node_1124;node_1128;node_1362;node_1410;node_1502;node_1526;node_1694;node_1742;node_1814;node_1838,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C2H8OSi,positive,1,76.03444141206,0.7502,0.692,12,3,10,fragment;fragment_h_shift;recombination,node_0461,"M | fragment C,H,O,Si from other bond break(s) | protonation",node_0461;node_0465;node_0585;node_0589;node_1361;node_1409;node_1501;node_1525;node_1693;node_1741;node_1813;node_1837,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C3H10O2Si2,negative,-1,134.02193263074,0.7502,0.692,72,3,68,fragment;fragment_h_shift;recombination,node_0446,"M | fragment C,H,O,Si from C-Si bond break(s) | deprotonation",node_0446;node_0450;node_0470;node_0474;node_0568;node_0572;node_0592;node_0596;node_0752;node_0768;node_0772;node_0788;node_0796;node_0800;node_0824;node_0828;node_0908;node_0924;node_0928;node_0944;node_0952;node_0956;node_0980;node_0984;node_0996;node_1000;node_1028;node_1032;node_1036;node_1040;node_1068;node_1072;node_1084;node_1088;node_1092;node_1096;node_1140;node_1144;node_1148;node_1152;node_1282;node_1314;node_1322;node_1354;node_1370;node_1378;node_1426;node_1434;node_1462;node_1478;node_1482;node_1498;node_1506;node_1510;node_1534;node_1538;node_1614;node_1646;node_1654;node_1686;node_1702;node_1710;node_1758;node_1766;node_1774;node_1790;node_1794;node_1810;node_1818;node_1822;node_1846;node_1850,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C3H12O2Si2,positive,1,136.0375826952,0.7502,0.692,40,3,36,fragment;fragment_h_shift;recombination,node_0445,"M | fragment C,H,O,Si from C-Si bond break(s) | protonation",node_0445;node_0449;node_0469;node_0473;node_0569;node_0573;node_0593;node_0597;node_1281;node_1313;node_1321;node_1353;node_1369;node_1377;node_1425;node_1433;node_1461;node_1477;node_1481;node_1497;node_1505;node_1509;node_1533;node_1537;node_1613;node_1645;node_1653;node_1685;node_1701;node_1709;node_1757;node_1765;node_1773;node_1789;node_1793;node_1809;node_1817;node_1821;node_1845;node_1849,structural_candidate_only,0.942
PDMS,Polydimethylsiloxane,C4H13OSi2,positive,1,133.05049310786,0.7134,0.6540000000000001,10,2,10,fragment;recombination,node_0451,"M | fragment C,H,O,Si from Si-O bond break(s) | electron_loss",node_0451;node_0475;node_0805;node_0961;node_1101;node_1105;node_1383;node_1511;node_1715;node_1823,structural_candidate_only,0.8740000000000001
PDMS,Polydimethylsiloxane,C4H13OSi2,negative,-1,133.05049310786,0.7134,0.6540000000000001,6,2,6,fragment;recombination,node_0452,"M | fragment C,H,O,Si from Si-O bond break(s) | electron_gain",node_0452;node_0476;node_1384;node_1512;node_1716;node_1824,structural_candidate_only,0.8740000000000001
