edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_7053,ETFE,node_0791,node_5108,protonation,ionization,1.0
edge_7054,ETFE,node_0791,node_5109,deprotonation,ionization,1.0
edge_7055,ETFE,node_0792,node_5110,electron_loss,ionization,1.0
edge_7056,ETFE,node_0792,node_5111,electron_gain,ionization,1.0
edge_7057,ETFE,node_0792,node_5112,protonation,ionization,1.0
edge_7058,ETFE,node_0792,node_5113,deprotonation,ionization,1.0
edge_7059,ETFE,node_0793,node_5114,electron_loss,ionization,1.0
edge_7060,ETFE,node_0793,node_5115,electron_gain,ionization,1.0
edge_7061,ETFE,node_0793,node_5116,protonation,ionization,1.0
edge_7062,ETFE,node_0793,node_5117,deprotonation,ionization,1.0
edge_7063,ETFE,node_0794,node_5118,electron_loss,ionization,1.0
edge_7064,ETFE,node_0794,node_5119,electron_gain,ionization,1.0
edge_7065,ETFE,node_0794,node_5120,protonation,ionization,1.0
edge_7066,ETFE,node_0794,node_5121,deprotonation,ionization,1.0
edge_7067,ETFE,node_0795,node_5122,electron_loss,ionization,1.0
edge_7068,ETFE,node_0795,node_5123,electron_gain,ionization,1.0
edge_7069,ETFE,node_0795,node_5124,protonation,ionization,1.0
edge_7070,ETFE,node_0795,node_5125,deprotonation,ionization,1.0
edge_7071,ETFE,node_0796,node_5126,electron_loss,ionization,1.0
edge_7072,ETFE,node_0796,node_5127,electron_gain,ionization,1.0
edge_7073,ETFE,node_0796,node_5128,protonation,ionization,1.0
edge_7074,ETFE,node_0796,node_5129,deprotonation,ionization,1.0
edge_7075,ETFE,node_0797,node_5130,electron_loss,ionization,1.0
edge_7076,ETFE,node_0797,node_5131,electron_gain,ionization,1.0
edge_7077,ETFE,node_0797,node_5132,protonation,ionization,1.0
edge_7078,ETFE,node_0797,node_5133,deprotonation,ionization,1.0
edge_7079,ETFE,node_0798,node_5134,electron_loss,ionization,1.0
edge_7080,ETFE,node_0798,node_5135,electron_gain,ionization,1.0
edge_7081,ETFE,node_0798,node_5136,protonation,ionization,1.0
edge_7082,ETFE,node_0798,node_5137,deprotonation,ionization,1.0
edge_7083,ETFE,node_0799,node_5138,electron_loss,ionization,1.0
edge_7084,ETFE,node_0799,node_5139,electron_gain,ionization,1.0
edge_7085,ETFE,node_0799,node_5140,protonation,ionization,1.0
edge_7086,ETFE,node_0799,node_5141,deprotonation,ionization,1.0
edge_7087,ETFE,node_0800,node_5142,electron_loss,ionization,1.0
edge_7088,ETFE,node_0800,node_5143,electron_gain,ionization,1.0
edge_7089,ETFE,node_0800,node_5144,protonation,ionization,1.0
edge_7090,ETFE,node_0800,node_5145,deprotonation,ionization,1.0
edge_7091,ETFE,node_0801,node_5146,electron_loss,ionization,1.0
edge_7092,ETFE,node_0801,node_5147,electron_gain,ionization,1.0
edge_7093,ETFE,node_0801,node_5148,protonation,ionization,1.0
edge_7094,ETFE,node_0801,node_5149,deprotonation,ionization,1.0
edge_7095,ETFE,node_0802,node_5150,electron_loss,ionization,1.0
edge_7096,ETFE,node_0802,node_5151,electron_gain,ionization,1.0
edge_7097,ETFE,node_0802,node_5152,protonation,ionization,1.0
edge_7098,ETFE,node_0802,node_5153,deprotonation,ionization,1.0
edge_7099,ETFE,node_0803,node_5154,electron_loss,ionization,1.0
edge_7100,ETFE,node_0803,node_5155,electron_gain,ionization,1.0
edge_7101,ETFE,node_0803,node_5156,protonation,ionization,1.0
edge_7102,ETFE,node_0803,node_5157,deprotonation,ionization,1.0
edge_7103,ETFE,node_0804,node_5158,electron_loss,ionization,1.0
edge_7104,ETFE,node_0804,node_5159,electron_gain,ionization,1.0
