edge_id,compound_id,source_node,target_node,operation,operation_type,weight
edge_4144,Nomex,node_0335,node_2767,deprotonation,ionization,1.0
edge_4145,Nomex,node_0336,node_2768,electron_loss,ionization,1.0
edge_4146,Nomex,node_0336,node_2769,electron_gain,ionization,1.0
edge_4147,Nomex,node_0336,node_2770,protonation,ionization,1.0
edge_4148,Nomex,node_0336,node_2771,deprotonation,ionization,1.0
edge_4149,Nomex,node_0337,node_2772,electron_loss,ionization,1.0
edge_4150,Nomex,node_0337,node_2773,electron_gain,ionization,1.0
edge_4151,Nomex,node_0337,node_2774,protonation,ionization,1.0
edge_4152,Nomex,node_0337,node_2775,deprotonation,ionization,1.0
edge_4153,Nomex,node_0338,node_2776,electron_loss,ionization,1.0
edge_4154,Nomex,node_0338,node_2777,electron_gain,ionization,1.0
edge_4155,Nomex,node_0338,node_2778,protonation,ionization,1.0
edge_4156,Nomex,node_0338,node_2779,deprotonation,ionization,1.0
edge_4157,Nomex,node_0339,node_2780,electron_loss,ionization,1.0
edge_4158,Nomex,node_0339,node_2781,electron_gain,ionization,1.0
edge_4159,Nomex,node_0339,node_2782,protonation,ionization,1.0
edge_4160,Nomex,node_0339,node_2783,deprotonation,ionization,1.0
edge_4161,Nomex,node_0340,node_2784,electron_loss,ionization,1.0
edge_4162,Nomex,node_0340,node_2785,electron_gain,ionization,1.0
edge_4163,Nomex,node_0340,node_2786,protonation,ionization,1.0
edge_4164,Nomex,node_0340,node_2787,deprotonation,ionization,1.0
edge_4165,Nomex,node_0341,node_2788,electron_loss,ionization,1.0
edge_4166,Nomex,node_0341,node_2789,electron_gain,ionization,1.0
edge_4167,Nomex,node_0341,node_2790,protonation,ionization,1.0
edge_4168,Nomex,node_0341,node_2791,deprotonation,ionization,1.0
edge_4169,Nomex,node_0342,node_2792,electron_loss,ionization,1.0
edge_4170,Nomex,node_0342,node_2793,electron_gain,ionization,1.0
edge_4171,Nomex,node_0342,node_2794,protonation,ionization,1.0
edge_4172,Nomex,node_0342,node_2795,deprotonation,ionization,1.0
edge_4173,Nomex,node_0343,node_2796,electron_loss,ionization,1.0
edge_4174,Nomex,node_0343,node_2797,electron_gain,ionization,1.0
edge_4175,Nomex,node_0343,node_2798,protonation,ionization,1.0
edge_4176,Nomex,node_0343,node_2799,deprotonation,ionization,1.0
edge_4177,Nomex,node_0344,node_2800,electron_loss,ionization,1.0
edge_4178,Nomex,node_0344,node_2801,electron_gain,ionization,1.0
edge_4179,Nomex,node_0344,node_2802,protonation,ionization,1.0
edge_4180,Nomex,node_0344,node_2803,deprotonation,ionization,1.0
edge_4181,Nomex,node_0345,node_2804,electron_loss,ionization,1.0
edge_4182,Nomex,node_0345,node_2805,electron_gain,ionization,1.0
edge_4183,Nomex,node_0345,node_2806,protonation,ionization,1.0
edge_4184,Nomex,node_0345,node_2807,deprotonation,ionization,1.0
edge_4185,Nomex,node_0346,node_2808,electron_loss,ionization,1.0
edge_4186,Nomex,node_0346,node_2809,electron_gain,ionization,1.0
edge_4187,Nomex,node_0346,node_2810,protonation,ionization,1.0
edge_4188,Nomex,node_0346,node_2811,deprotonation,ionization,1.0
edge_4189,Nomex,node_0347,node_2812,electron_loss,ionization,1.0
edge_4190,Nomex,node_0347,node_2813,electron_gain,ionization,1.0
edge_4191,Nomex,node_0347,node_2814,protonation,ionization,1.0
edge_4192,Nomex,node_0347,node_2815,deprotonation,ionization,1.0
edge_4193,Nomex,node_0348,node_2816,electron_loss,ionization,1.0
edge_4194,Nomex,node_0348,node_2817,electron_gain,ionization,1.0
edge_4195,Nomex,node_0348,node_2818,protonation,ionization,1.0
edge_4196,Nomex,node_0348,node_2819,deprotonation,ionization,1.0
edge_4197,Nomex,node_0349,node_2820,electron_loss,ionization,1.0
edge_4198,Nomex,node_0349,node_2821,electron_gain,ionization,1.0
edge_4199,Nomex,node_0349,node_2822,protonation,ionization,1.0
edge_4200,Nomex,node_0349,node_2823,deprotonation,ionization,1.0
edge_4201,Nomex,node_0350,node_2824,electron_loss,ionization,1.0
edge_4202,Nomex,node_0350,node_2825,electron_gain,ionization,1.0
edge_4203,Nomex,node_0350,node_2826,protonation,ionization,1.0
edge_4204,Nomex,node_0350,node_2827,deprotonation,ionization,1.0
edge_4205,Nomex,node_0351,node_2828,electron_loss,ionization,1.0
edge_4206,Nomex,node_0351,node_2829,electron_gain,ionization,1.0
edge_4207,Nomex,node_0351,node_2830,protonation,ionization,1.0
edge_4208,Nomex,node_0351,node_2831,deprotonation,ionization,1.0
edge_4209,Nomex,node_0352,node_2832,electron_loss,ionization,1.0
edge_4210,Nomex,node_0352,node_2833,electron_gain,ionization,1.0
edge_4211,Nomex,node_0352,node_2834,protonation,ionization,1.0
edge_4212,Nomex,node_0352,node_2835,deprotonation,ionization,1.0
edge_4213,Nomex,node_0353,node_2836,electron_loss,ionization,1.0
edge_4214,Nomex,node_0353,node_2837,electron_gain,ionization,1.0
edge_4215,Nomex,node_0353,node_2838,protonation,ionization,1.0
edge_4216,Nomex,node_0353,node_2839,deprotonation,ionization,1.0
edge_4217,Nomex,node_0354,node_2840,electron_loss,ionization,1.0
edge_4218,Nomex,node_0354,node_2841,electron_gain,ionization,1.0
edge_4219,Nomex,node_0354,node_2842,protonation,ionization,1.0
edge_4220,Nomex,node_0354,node_2843,deprotonation,ionization,1.0
edge_4221,Nomex,node_0355,node_2844,electron_loss,ionization,1.0
edge_4222,Nomex,node_0355,node_2845,electron_gain,ionization,1.0
edge_4223,Nomex,node_0355,node_2846,protonation,ionization,1.0
edge_4224,Nomex,node_0355,node_2847,deprotonation,ionization,1.0
edge_4225,Nomex,node_0356,node_2848,electron_loss,ionization,1.0
edge_4226,Nomex,node_0356,node_2849,electron_gain,ionization,1.0
