compound_id,source_name,formula,ion_mode,charge,exact_mass,formula_score,best_path_score,path_count,mechanism_count,source_fragment_count,generation_types,best_node_id,representative_path,all_node_ids
Nomex,meta-Aramid,C9H5O3,negative,-1,161.02386901986,0.706,0.5359999999999999,9,1,9,recombination,node_4004,node_0027 + node_0042 | h_transfer_recombination | deprotonation,node_1753;node_2309;node_2349;node_2705;node_4004;node_4162;node_5566;node_5648;node_5682
Nomex,meta-Aramid,C9H6NO3,positive,1,176.03476805652,0.706,0.5359999999999999,15,1,15,recombination,node_3983,node_0027 + node_0037 | dehydrogenative_coupling | protonation,node_1744;node_1908;node_2156;node_2184;node_2316;node_2386;node_2696;node_3518;node_3693;node_3983;node_4465;node_5177;node_5255;node_5635;node_5715
Nomex,meta-Aramid,C9H6NO3,negative,-1,176.03476805652,0.706,0.5359999999999999,15,1,15,recombination,node_3988,node_0027 + node_0038 | h_transfer_recombination | deprotonation,node_1745;node_1909;node_2157;node_2185;node_2317;node_2697;node_3988;node_4154;node_4470;node_4606;node_5182;node_5256;node_5294;node_5636;node_5716
Nomex,meta-Aramid,C9H7N2O3,positive,1,191.04566709318001,0.706,0.5359999999999999,12,1,12,recombination,node_4007,node_0027 + node_0043 | dehydrogenative_coupling | protonation,node_1756;node_2218;node_2400;node_2440;node_2708;node_3510;node_3705;node_4007;node_5243;node_5323;node_5749;node_5835
Nomex,meta-Aramid,C9H7N2O3,negative,-1,191.04566709318001,0.706,0.5359999999999999,11,1,11,recombination,node_4012,node_0027 + node_0044 | h_transfer_recombination | deprotonation,node_1757;node_2401;node_2441;node_2709;node_4012;node_4166;node_5244;node_5324;node_5754;node_5836;node_5866
Nomex,meta-Aramid,C9H7O3,positive,1,163.03951908432,0.706,0.5359999999999999,4,1,4,recombination,node_4003,node_0027 + node_0042 | h_transfer_recombination | protonation,node_4003;node_4161;node_5565;node_5681
Nomex,meta-Aramid,C9H8NO3,positive,1,178.05041812098,0.706,0.5359999999999999,6,1,6,recombination,node_3987,node_0027 + node_0038 | h_transfer_recombination | protonation,node_3987;node_4153;node_4469;node_4605;node_5181;node_5293
Nomex,meta-Aramid,C9H9N2O3,positive,1,193.06131715764,0.706,0.5359999999999999,4,1,4,recombination,node_4011,node_0027 + node_0044 | h_transfer_recombination | protonation,node_4011;node_4165;node_5753;node_5865
Nomex,meta-Aramid,C6H4,positive,1,76.03130012892,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_1595,"M | fragment C,H from C-N+C-N bond break(s) | electron_loss",node_1595;node_1626
Nomex,meta-Aramid,C6H4,negative,-1,76.03130012892,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_1596,"M | fragment C,H from C-N+C-N bond break(s) | electron_gain",node_1596;node_1627
Nomex,meta-Aramid,C6H5N,positive,1,91.04219916558,0.6960000000000002,0.6060000000000001,2,1,2,fragment,node_1579,"M | fragment C,H,N from C-N+C-N bond break(s) | electron_loss",node_1579;node_1599
