spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,43.05468250319048,588.6963849570794,28,structural_candidate,,True,True,C3H7,-9.272241952373861e-05,-2.1535920008376936,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,51.02213524610415,225.93089854741262,15,structural_candidate,,True,True,C4H3,-0.0013398505858503995,-26.259492974780123,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,55.05433379626682,583.9958293459786,28,structural_candidate,,True,True,C4H7,-0.00044142934318358584,-8.01800282309108,0.6580000000000001
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,63.02179433230679,237.46018596546355,16,contaminant,Na2OH+,False,False,,,,
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,77.03761581537938,310.5251881793381,20,structural_candidate,,True,True,C6H5,-0.0015093457706143454,-19.591938089342328,1.0
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,132.9053106327114,3393.0655735363434,63,contaminant,Cs+,False,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,1.0083823215451133,2037.9675759666632,53,low_mass_background,below_min_main_mz,False,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,13.007507718580568,167.49474359044012,32,low_mass_background,below_min_main_mz,False,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,15.994814095991572,53.632763051379705,17,contaminant,O-,False,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,17.00239019444317,82.63619126267922,22,contaminant,OH-,False,False,,,,
PEEK_-PEEK-1,PEEK,data/PEEK/-PEEK-1.txt,negative,23.99955310567469,69.62257077816594,20,low_mass_background,below_min_main_mz,False,False,,,,
