spectrum_id,material,source_file,ion_mode,mz,intensity,centroid_peak_count,peak_category,category_label,included_in_main_eval,matched,matched_formula,matched_mass_error_da,matched_mass_error_ppm,matched_formula_score,network_has_match,best_match_rank,matched_formula,error_category
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,22.98875891457053,2274.539023815138,35,contaminant,Na+,False,False,,,,,False,0,,missing
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,27.022293432725714,1475.4114595614242,27,low_mass_feature,C2H3+,True,True,C2H3,-0.0011816639642852,-43.7273133842784,0.6580000000000001,True,97,C2H3,rank_51_100
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,29.038364547892133,1167.2954491865123,24,low_mass_feature,C2H5+,True,True,C2H5,-0.0007606132578672,-26.192705656465,0.6580000000000001,True,98,C2H5,rank_51_100
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,39.02202499914645,1663.0417354397548,31,structural_candidate,,True,True,C3H3,-0.0014500975435467,-37.15962097055127,0.6580000000000001,True,99,C3H3,rank_51_100
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,41.03846001044708,3485.3053525112,46,structural_candidate,,True,True,C3H5,-0.0006651507029218,-16.207721297906836,0.6580000000000001,True,100,C3H5,rank_51_100
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,43.054344795056345,1341.216694175902,27,structural_candidate,,True,True,C3H7,-0.0004304305536564,-9.99727791867336,0.6580000000000001,True,101,C3H7,rank_101_200
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,55.05413199049599,1211.2190521103514,26,structural_candidate,,True,True,C4H7,-0.0006432351140119,-11.683548091442766,0.6580000000000001,True,104,C4H7,rank_101_200
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,77.03777000045835,771.6670596557416,18,structural_candidate,,True,True,C6H5,-0.001355160691645,-17.590551408915655,1.0,True,1,C6H5,rank_1_50
Nomex_+Nomex-1,Nomex,data/Nomex/+Nomex-1.txt,positive,132.903773155273,4901.711860410281,66,contaminant,Cs+,False,False,,,,,False,0,,missing
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,1.0091544447313752,2407.2575117102706,45,low_mass_background,below_min_main_mz,False,False,,,,,False,0,,missing
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,13.007881232406143,108.73986061921627,13,low_mass_background,below_min_main_mz,False,False,,,,,False,0,,missing
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,15.994587403555306,81.29926882211814,10,contaminant,O-,False,False,,,,,False,0,,missing
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,25.00771213365994,610.49830534293,41,structural_candidate,,True,True,C2H,-0.0001128985700589,-4.514529748725193,0.6580000000000001,True,62,C2H,rank_51_100
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,26.006688449771957,2026.7770097871205,80,low_mass_feature,CN-,True,True,CN,0.0036144453419524,139.00069435393135,0.6220000000000001,True,123,CN,rank_101_200
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,41.999222319072224,814.2013214516927,57,structural_candidate,,True,True,CNO,0.0012336950722229,29.3750989664759,0.99,True,3,CNO,rank_1_50
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,49.99955686413411,85.89912030161088,11,structural_candidate,,True,True,C3N,-0.0035171402958908,-70.33848150174323,0.6220000000000001,True,121,C3N,rank_101_200
Nomex_-Nomex-1,Nomex,data/Nomex/-Nomex-1.txt,negative,79.95305966665349,433.4413915229064,43,structural_candidate,,True,False,,,,,False,0,,missing
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,22.989296455803508,630.3143701883936,27,contaminant,Na+,False,False,,,,,False,0,,missing
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,27.02245269896949,422.7357776412952,22,low_mass_feature,C2H3+,True,True,C2H3,-0.0010223977205079,-37.83368781586381,0.6580000000000001,True,64,C2H3,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,29.038446714496978,364.11666404810535,20,low_mass_feature,C2H5+,True,True,C2H5,-0.0006784466530227,-23.363191875022675,0.6580000000000001,True,65,C2H5,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,39.02234998004333,591.3144701698257,27,structural_candidate,,True,True,C3H3,-0.0011251166466692,-28.831790195043094,0.6580000000000001,True,66,C3H3,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,41.03848566863475,1018.2080470769714,34,structural_candidate,,True,True,C3H5,-0.0006394925152477,-15.582508465680773,0.6580000000000001,True,67,C3H5,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,43.05468250319048,588.6963849570794,28,structural_candidate,,True,True,C3H7,-9.27224195237386e-05,-2.1535920008376936,0.6580000000000001,True,68,C3H7,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,51.02213524610415,225.93089854741265,15,structural_candidate,,True,True,C4H3,-0.0013398505858503,-26.259492974780123,0.6580000000000001,True,69,C4H3,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,55.05433379626682,583.9958293459786,28,structural_candidate,,True,True,C4H7,-0.0004414293431835,-8.01800282309108,0.6580000000000001,True,71,C4H7,rank_51_100
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,63.02179433230679,237.46018596546355,16,contaminant,Na2OH+,False,False,,,,,False,0,,missing
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,77.03761581537938,310.5251881793381,20,structural_candidate,,True,True,C6H5,-0.0015093457706143,-19.591938089342328,1.0,True,1,C6H5,rank_1_50
PEEK_+PEEK-1,PEEK,data/PEEK/+PEEK-1.txt,positive,132.9053106327114,3393.0655735363434,63,contaminant,Cs+,False,False,,,,,False,0,,missing
