spectrum_key,material,polarity,compound_id,formula,raw_formula,mz,intensity,network_score,generation_type,matched_ion_mode,network_path
EVA_neg,EVA,neg,EVA,C4,C_4-,48.0004,205918.36,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
EVA_neg,EVA,neg,EVA,C15H23O6,C_15H_23O_6-,299.211,193376.21,0.29,adduct,negative,break 2 bond(s) + 2×repeat | -H | ; | break 2 bond(s) + 2×repeat | -H
EVA_neg,EVA,neg,EVA,C4H3,C_4H_3-,51.0247,188239.71,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 | positive ion formula
EVA_neg,EVA,neg,EVA,C4H5O2,C_4H_5O_2-,85.021,161612.85,0.5499999999999999,adduct,negative,break 1 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | H shift -1 | -H | ; | break 2 bond(s) | -H
EVA_neg,EVA,neg,EVA,CHO2,CHO_2-,45.0009,160324.03,0.45,adduct,positive,break 2 bond(s) | H
EVA_neg,EVA,neg,EVA,C5,C_5-,60.0026,156006.35,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_neg,EVA,neg,EVA,C5H,C_5H-,61.0079,151713.59,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_neg,EVA,neg,EVA,C6H2,C_6H_2-,74.009,149525.31,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_neg,EVA,neg,EVA,C15H25O6,C_15H_25O_6-,301.2266,147524.34,0.29,adduct,positive,break 2 bond(s) + 2×repeat | H | ; | break 2 bond(s) + 2×repeat | H
EVA_neg,EVA,neg,EVA,C2H2O2,C_2H_2O_2-,58.0052,130054.55,0.6,adduct,negative,break 1 bond(s) | -H | ; | break 1 bond(s) | H shift -2 | OH | ; | break 1 bond(s) | H shift -1 | O
EVA_neg,EVA,neg,EVA,C6,C_6-,71.9997,125870.37,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_neg,EVA,neg,EVA,C3H3,C_3H_3-,39.0247,123834.64,0.35,adduct,negative,break 2 bond(s) | H shift -2 | -H | ; | break 2 bond(s) | H shift -2 | -H
EVA_neg,EVA,neg,EVA,C7H2,C_7H_2-,86.0159,120798.48,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
EVA_neg,EVA,neg,EVA,C5H3,C_5H_3-,63.0225,120606.72,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_neg,EVA,neg,EVA,C6H3,C_6H_3-,75.0232,102865.36,0.22,carbon_cluster,positive,carbon cluster C6 H0-14 | positive ion formula
EVA_neg,EVA,neg,EVA,C10H,C_10H-,121.0071,92437.03,0.22,carbon_cluster,positive,carbon cluster C10 H0-22 | positive ion formula
EVA_neg,EVA,neg,EVA,C8H2,C_8H_2-,98.0088,84481.76,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
EVA_neg,EVA,neg,EVA,C7,C_7-,83.999,78422.83,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
EVA_neg,EVA,neg,EVA,C7H3,C_7H_3-,87.0207,72278.55,0.22,carbon_cluster,positive,carbon cluster C7 H0-16 | positive ion formula
EVA_neg,EVA,neg,EVA,C2H3O,C_2H_3O-,43.0201,63833.37,0.6,fragment,neutral,break 1 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s) | ; | break 2 bond(s)
EVA_neg,EVA,neg,EVA,C9H2,C_9H_2-,110.0116,59965.36,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
EVA_neg,EVA,neg,EVA,C8,C_8-,95.9974,58527.81,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
EVA_neg,EVA,neg,EVA,C8H3,C_8H_3-,99.023,57477.12,0.22,carbon_cluster,positive,carbon cluster C8 H0-18 | positive ion formula
EVA_neg,EVA,neg,EVA,C5H5,C_5H_5-,65.0378,55993.86,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_neg,EVA,neg,EVA,C9H,C_9H-,109.0007,55361.42,0.22,carbon_cluster,positive,carbon cluster C9 H0-20 | positive ion formula
EVA_neg,EVA,neg,EVA,C5H4,C_5H_4-,64.0268,51232.07,0.22,carbon_cluster,positive,carbon cluster C5 H0-12 | positive ion formula
EVA_neg,EVA,neg,EVA,C4HO,C_4HO-,65.0009,50273.43,0.22,carbon_cluster,positive,carbon cluster C4 H0-10 O1 | positive ion formula
EVA_neg,EVA,neg,EVA,C3H5O3,C_3H_5O_3-,89.0299,49643.67,0.33,adduct,negative,break 2 bond(s) | OH | ; | break 2 bond(s) | H shift +1 | O | ; | break 2 bond(s) | OH
