material,candidate_rank,label,match_score,matched_count,missing_typical_count,matched_formulas
PEEK,8,含磷碎片,0.5,3,3,OP⁻; O₂P⁻; O₃P⁻
PEEK,9,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; CN⁻
PEEK,10,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
PEEK,11,含氧芳香碎片,0.5,2,2,C₇H₇O⁺; C₇H₅O⁺
PEEK,12,低碳含氧碎片,0.5,2,2,¹³CCH₅O⁺; C₃H₇O⁺
PEEK,13,EVA乙烯-醋酸乙烯,0.5,2,2,C₂H₃O₂⁻; C₂H₃O₂⁻
PEEK,14,IPA异丙醇残留,0.5,1,1,C₃H₇O⁺
PEEK,15,Cs离子束残留,0.5,1,1,Cs⁺
PEEK,16,碱金属离子,0.4,2,3,⁴¹K⁺; Cs⁺
PEEK,17,ABS苯乙烯三元共聚,0.4,2,3,C₇H₇⁺; CN⁻
PEEK,18,同位素卫星峰,0.4,2,3,C⁻; ³⁷Cl⁻
PEEK,19,POM甲醛链,0.3333333333333333,2,4,CH₂O⁺; C₂H₅O₂⁺
PEEK,20,硅烷偶联剂,0.3333333333333333,1,2,C₃H₈N⁺
PEI,1,聚乙烯/聚丙烯碎片,1.0,6,0,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺; C₈H₁₅⁺
PEI,2,碳簇阴离子,1.0,5,0,C⁻; C₂⁻; C₃⁻; C₄⁻; C₅⁻
PEI,3,PVC含氯聚合物,0.8,4,1,³⁷Cl⁻; ³⁷Cl⁻; C₄H₅⁻; C₆H₅⁻
PEI,4,EVA乙烯-醋酸乙烯,0.75,3,1,C₂H₃O₂⁻; C₂H₃O₂⁻; C₃H₅⁺
PEI,5,无机基准碎片,0.6666666666666666,4,2,O⁻; HO⁻; O₂⁻; H⁺
PEI,6,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
PEI,7,同位素卫星峰,0.6,3,2,C⁻; ³⁰Si⁺; ³⁷Cl⁻
PEI,8,Si基底,0.5,3,3,³⁰Si⁺; HOSi⁺; O₂Si⁻
PEI,9,POM甲醛链,0.5,3,3,CH₂O⁺; C₂H₄O₂⁺; C₂H₅O₂⁺
PEI,10,含氮碎片,0.5,3,3,¹³CN⁻; ¹³CNO⁻; NO₂⁻
PEI,11,含磷碎片,0.5,3,3,OP⁻; O₂P⁻; O₃P⁻
PEI,12,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; ¹³CN⁻
PEI,13,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
PEI,14,含氧芳香碎片,0.5,2,2,C₈H₉O⁺; C₇H₅O⁺
PEI,15,低碳含氧碎片,0.5,2,2,¹³CCH₅O⁺; ¹³CC₂H₇O⁺
PEI,16,IPA异丙醇残留,0.5,1,1,¹³CC₂H₇O⁺
PEI,17,Cs离子束残留,0.5,1,1,Cs⁺
PEI,18,聚苯乙烯碎片,0.4,2,3,C₇H₇⁺; C₈H₇⁺
PEI,19,碱金属离子,0.4,2,3,Li⁺; Cs⁺
PEI,20,ABS苯乙烯三元共聚,0.4,2,3,C₇H₇⁺; ¹³CN⁻
PEN,1,聚乙烯/聚丙烯碎片,1.0,6,0,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺; C₈H₁₅⁺
PEN,2,碳簇阴离子,1.0,5,0,C⁻; C₂⁻; C₃⁻; C₄⁻; C₅⁻
PEN,3,含氯碎片,1.0,3,0,³⁷Cl⁻; ³⁷Cl⁻; CHCl⁻
PEN,4,含氮碎片,0.8333333333333334,5,1,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; CN⁻; CNO⁻
PEN,5,碱金属离子,0.8,4,1,Li⁺; Na⁺; ⁴¹K⁺; Cs⁺
PEN,6,PVC含氯聚合物,0.8,4,1,³⁷Cl⁻; ³⁷Cl⁻; C₄H₅⁻; C₆H₅⁻
PEN,7,含氯污染,0.75,3,1,³⁷Cl⁻; ³⁷Cl⁻; CHCl⁻
PEN,8,EVA乙烯-醋酸乙烯,0.75,3,1,C₂H₃O₂⁻; C₂H₃O₂⁻; C₃H₅⁺
PEN,9,无机基准碎片,0.6666666666666666,4,2,H⁻; O⁻; HO⁻; O₂⁻
PEN,10,同位素卫星峰,0.6,3,2,C⁻; ³⁷Cl⁻; ⁸¹Br⁻
PEN,11,含磷碎片,0.5,3,3,OP⁻; O₂P⁻; O₃P⁻
PEN,12,含氧芳香碎片,0.5,2,2,C₇H₇O⁺; C₈H₉O⁺
PEN,13,低碳含氧碎片,0.5,2,2,¹³CCH₅O⁺; C₃H₇O⁺
PEN,14,IPA异丙醇残留,0.5,1,1,C₃H₇O⁺
PEN,15,Cs离子束残留,0.5,1,1,Cs⁺
PEN,16,聚苯乙烯碎片,0.4,2,3,C₇H₇⁺; C₁₀H₈⁺
PEN,17,ABS苯乙烯三元共聚,0.4,2,3,C₇H₇⁺; CN⁻
PEN,18,POM甲醛链,0.3333333333333333,2,4,CH₂O⁺; ¹³CH₃O⁺
PEN,19,硅烷偶联剂,0.3333333333333333,1,2,C₃H₈N⁺
PEN,20,PC聚碳酸酯,0.3333333333333333,1,2,C₁₅H₁₅O⁺
PFA,1,含氮碎片,1.0,6,0,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; ¹³CN⁻; CNO⁻; NO₂⁻
PFA,2,含氟碎片,1.0,4,0,F⁻; ¹³CF⁻; ¹³CF₂⁻; ¹³CF₃⁻
PFA,3,EVA乙烯-醋酸乙烯,1.0,4,0,C₂H₃O₂⁻; C₂H₃O₂⁻; C₂H₃O⁺; C₃H₅⁺
PFA,4,PTFE聚四氟乙烯,0.8571428571428571,6,1,¹³CF⁻; ¹³CF₂⁻; ¹³CF₃⁻; ¹³CCF₃⁻; C₂F₅⁻; C₃F₅⁻
PFA,5,低碳含氧碎片,0.75,3,1,C₂H₃O⁺; C₂H₅O⁺; C₃H₇O⁺
PFA,6,聚乙烯/聚丙烯碎片,0.6666666666666666,4,2,C₃H₅⁺; C₄H₇⁺; C₆H₁₁⁺; C₇H₁₃⁺
PFA,7,含氯碎片,0.6666666666666666,2,1,³⁷Cl⁻; ³⁷Cl⁻
PFA,8,PVC含氯聚合物,0.6,3,2,³⁷Cl⁻; ³⁷Cl⁻; C₆H₅⁻
PFA,9,ABS苯乙烯三元共聚,0.6,3,2,C₇H₇⁺; ¹³CN⁻; C₄H₅⁺
PFA,10,POM甲醛链,0.5,3,3,CHO⁺; CH₂O⁺; C₂H₃O⁺
PFA,11,无机基准碎片,0.5,3,3,H⁻; O⁻; HO⁻
PFA,12,PET芳香酯碎片,0.5,2,2,C₇H₅O⁺; C₈H₅O₃⁺
PFA,13,聚酰亚胺芳香碎片,0.5,2,2,C₆H₄⁺; ¹³CN⁻
PFA,14,含氯污染,0.5,2,2,³⁷Cl⁻; ³⁷Cl⁻
PFA,15,IPA异丙醇残留,0.5,1,1,C₃H₇O⁺
PFA,16,Cs离子束残留,0.5,1,1,Cs⁺
PFA,17,丙酮残留,0.5,1,1,C₂H₃O⁺
PFA,18,PDMS主链碎片,0.4,2,3,CH₃Si⁺; CH₃Si⁺
PFA,19,聚苯乙烯碎片,0.4,2,3,C₇H₇⁺; C₈H₇⁺
PFA,20,碱金属离子,0.4,2,3,Na⁺; Cs⁺
PI,1,聚乙烯/聚丙烯碎片,1.0,6,0,C₃H₅⁺; C₄H₇⁺; C₅H₉⁺; C₆H₁₁⁺; C₇H₁₃⁺; C₈H₁₅⁺
PI,2,含氮碎片,1.0,6,0,CH₄N⁺; C₂H₆N⁺; C₃H₈N⁺; ¹³CN⁻; ¹³CNO⁻; NO₂⁻
PI,3,碳簇阴离子,1.0,5,0,C⁻; C₂⁻; C₃⁻; C₄⁻; C₅⁻
PI,4,同位素卫星峰,1.0,5,0,C⁻; ³⁰Si⁺; ³⁷Cl⁻; ⁸¹Br⁻; Cu⁺
PI,5,含氯碎片,1.0,3,0,³⁷Cl⁻; ³⁷Cl⁻; CHCl⁻
PI,6,PVC含氯聚合物,0.8,4,1,³⁷Cl⁻; ³⁷Cl⁻; C₄H₅⁻; C₆H₅⁻
PI,7,含氯污染,0.75,3,1,³⁷Cl⁻; ³⁷Cl⁻; CHCl⁻
