Area Statistics
	Mass (u)	PET0 (-PET0-Floodgun-1) *
C_5H_6-	66.0430	2601.95
C_4H_3O-	67.0198	55255.25
C_3HO_2-	68.9992	113526.36
C_4H_5O-	69.0362	9313.30
C_3H_2O_2-	70.0037	5464.18
C_3H_3O_2-	71.0148	49167.74
C_6-	72.0002	237999.51
C_6H-	73.0089	833648.50
C_6H_2-	74.0136	101103.55
C_2H_2NCl-	74.9908	30685.78
C_6H_3-	75.0249	278532.69
C_6H_4-	76.0334	732581.03
CHSO_2-	76.9701	43956.83
CNOCl-	76.9701	43956.83
C_5HO-	77.0035	63377.17
C_6H_5-	77.0403	218469.45
C_5H_2O-	78.0105	13242.88
C_6H_6-	78.0444	13953.12
CO_2Cl-	78.9602	58146.97
C_5H_3O-	79.0196	22953.51
SO_3-	79.9582	38588.58
C_4O_2-	79.9903	3182.48
C_5H_4O-	80.0255	3095.70
SO_3H-	80.9666	9815.59
C_4HO_2-	80.9987	3033.54
C_5H_5O-	81.0360	5356.69
S_2OH_2-	81.9564	2649.62
C_4H_2O_2-	82.0063	5513.89
C_4H_3O_2-	83.0153	6580.14
C_5H_7O-	83.0529	1751.25
C_7-	84.0000	130283.73
C_3NCl-	84.9755	7939.13
C_7H-	85.0077	135462.23
C_7H_2-	86.0158	135524.88
C_7H_3-	87.0231	65490.66
C_6O-	87.9951	10440.13
C_7H_4-	88.0315	37426.71
C_6HO-	89.0033	92603.00
C_7H_5-	89.0403	52651.57
C_6H_2O-	90.0097	21108.14
C_7H_6-	90.0474	19418.24
C_6H_3O-	91.0196	89073.74
C_7H_7-	91.0560	8624.34
C_6H_4O-	92.0276	89316.82
C_5HO_2-	92.9981	20073.37
C_6H_5O-	93.0354	70936.35
C_5H_2O_2-	94.0040	2292.28
C_6H_6O-	94.0385	5048.99
C_5H_3O_2-	95.0151	10920.81
SO_4-	95.9514	11805.64
C_8-	95.9994	118505.34
SO_4H-	96.9607	31144.04
C_8H-	97.0080	382118.85
C_8H_2-	98.0123	49725.91
ClO_4-	98.9520	4665.85
C_8H_3-	99.0233	52032.57
C_7O-	99.9950	3279.07
C_8H_4-	100.0318	27016.99
C_7HO-	101.0031	10451.56
C_8H_5-	101.0406	40579.22
C_7H_2O-	102.0101	6956.59
C_8H_6-	102.0452	6122.23
C_7H_3O-	103.0193	13106.05
C_8H_7-	103.0566	7579.95
C_6O_2-	103.9897	1989.72
C_7H_4O-	104.0273	15790.70
